baths,balcony,no_of_rooms,flat_type,city,total_area_scaled,price_scaled
3,1,3,0,0,0.5137404580152671,0.562784994300114
2,0,2,0,0,0.26717557251908397,0.374930001399972
3,0,2,0,0,0.3183206106870229,0.28094813103737926
2,0,2,0,0,0.2362595419847328,0.17795894082118358
3,0,2,0,0,0.4389312977099237,0.8437956240875183
3,0,2,0,0,0.3427480916030534,0.24357762844743105
2,1,2,0,0,0.26717557251908397,0.2375577488450231
3,1,3,0,0,0.48091603053435117,0.6874737505249895
2,0,2,0,0,0.28053435114503816,0.1874212515749685
3,1,2,0,0,0.37786259541984735,0.7189731205375892
3,1,2,0,0,0.33969465648854963,0.6685991280174397
3,0,2,0,0,0.33969465648854963,0.6685991280174397
2,1,2,0,0,0.22709923664122136,0.4581408371832563
3,0,2,0,0,0.44656488549618323,0.750247495050099
3,0,2,0,0,0.3484732824427481,0.33095588088238237
3,1,2,0,0,0.3702290076335878,0.3625302493950121
2,0,2,0,0,0.2881679389312977,0.37183006339873204
3,0,2,0,0,0.32061068702290074,0.28139437211255774
2,1,2,0,0,0.250381679389313,0.250094998100038
2,1,2,0,0,0.250381679389313,0.2373852522949541
3,0,2,0,0,0.36259541984732824,0.24402636947261055
2,1,2,0,0,0.2480916030534351,0.4233040339193216
2,1,2,0,0,0.2969465648854962,0.36857012859742805
3,1,2,0,0,0.3511450381679389,0.3001439971200576
3,1,2,0,0,0.41030534351145037,0.38766412171756565
3,0,2,0,0,0.3816793893129771,0.18124637507249855
3,1,3,0,0,0.5152671755725191,0.9998237535249295
3,1,2,0,0,0.3435114503816794,0.2126207475850483
2,0,2,0,0,0.25190839694656486,0.16870912581748365
3,0,2,0,0,0.6019083969465648,0.374530009399812
2,1,2,0,0,0.3053435114503817,0.3624927501449971
3,1,2,0,0,0.3244274809160305,0.2624322513549729
2,1,1,0,0,0.1946564885496183,0.1874212515749685
3,1,2,0,0,0.31603053435114503,0.375179996400072
3,1,3,0,0,0.4198473282442748,0.5623637527249455
3,0,2,0,0,0.332824427480916,0.21854062918741626
3,1,3,0,0,0.3816793893129771,0.7812343753124937
3,0,2,0,0,0.33893129770992364,0.2403101937961241
3,1,2,0,0,0.33587786259541985,0.28104437911241775
2,1,2,0,0,0.26717557251908397,0.20605837883242334
3,0,1,0,0,0.4198473282442748,0.374680006399872
3,0,2,0,0,0.32748091603053436,0.5314131217375653
3,1,2,0,0,0.4198473282442748,0.4248665026699466
